causa_morte,descricao_morte,soma_morte
I219,Infarto Agudo do Miocárdio Não Especificado,92689
J189,Pneumonia Não Especificada,50044
R99,Outras Causas Mal Definidas e as Não Especificadas de Mortalidade,48511
I64,"Acidente Vascular Cerebral, Não Especificado Como Hemorrágico ou Isquêmico",33895
E149,Diabetes Mellitus Não Especificado,28613
C349,"Neoplasia Maligna Dos Brônquios ou Pulmões, Não Especificado",27699
I10,Hipertensão Essencial (primária),26560
G309,Doença de Alzheimer Não Especificada,21850
N390,Infecção do Trato Urinário de Localização Não Especificada,21432
A419,Septicemia Não Especificada,19992
J440,Doença Pulmonar Obstrutiva Crônica Com Infecção Respiratória Aguda do Trato Respiratório Inferior,19598
J449,Doença Pulmonar Obstrutiva Crônica Não Especificada,17226
C509,"Neoplasia Maligna da Mama, Não Especificada",17033
C61,Neoplasia Maligna da Próstata,15983
J159,Pneumonia Bacteriana Não Especificada,15543
X954,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,15034
I694,Seqüelas de Acidente Vascular Cerebral Não Especificado Como Hemorrágico ou Isquêmico,14396
I619,Hemorragia Intracerebral Não Especificada,14363
I110,Doença Cardíaca Hipertensiva Com Insuficiência Cardíaca (congestiva),14300
C169,"Neoplasia Maligna do Estômago, Não Especificado",13819
I509,Insuficiência Cardíaca Não Especificada,12864
I678,Outras Doenças Cerebrovasculares Especificadas,12829
J180,Broncopneumonia Não Especificada,12450
I500,Insuficiência Cardíaca Congestiva,12354
R98,Morte Sem Assistência,10253
C189,"Neoplasia Maligna do Cólon, Não Especificado",10117
C259,"Neoplasia Maligna do Pâncreas, Não Especificado",9419
K746,Outras Formas de Cirrose Hepática e as Não Especificadas,9208
E142,Diabetes Mellitus Não Especificado,9065
I639,Infarto Cerebral Não Especificado,8824
C159,"Neoplasia Maligna do Esôfago, Não Especificado",7957
C229,"Neoplasia Maligna do Fígado, Não Especificada",7762
Y349,Fatos ou Eventos Não Especificados e Intenção Não Determinada,7594
N189,Insuficiência Renal Crônica Não Especificada,7574
I251,Doença Aterosclerótica do Coração,7472
X700,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",7272
K703,Cirrose Hepática Alcoólica,6842
I269,Embolia Pulmonar Sem Menção de Cor Pulmonale Agudo,6592
X959,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,6307
C539,"Neoplasia Maligna do Colo do Útero, Não Especificado",6065
I420,Cardiomiopatia Dilatada,6005
J690,Pneumonite Devida a Alimento ou Vômito,5594
I119,Doença Cardíaca Hipertensiva Sem Insuficiência Cardíaca (congestiva),5579
C80,"Neoplasia Maligna, Sem Especificação de Localização",5521
C20,Neoplasia Maligna do Reto,5472
F102,Transtornos Mentais e Comportamentais Devidos ao Uso de Álcool,5419
I255,Miocardiopatia Isquêmica,5301
E119,Diabetes Mellitus Não-insulino-dependente,5119
R092,Parada Respiratória,5052
N179,Insuficiência Renal Aguda Não Especificada,4925
I609,Hemorragia Subaracnóide Não Especificada,4876
I48,Flutter e Fibrilação Atrial,4715
G20,Doença de Parkinson,4575
I259,Doença Isquêmica Crônica do Coração Não Especificada,4441
C719,"Neoplasia Maligna do Encéfalo, Não Especificado",4417
I120,Doença Renal Hipertensiva Com Insuficiência Renal,4414
J439,Enfisema Não Especificado,4191
C56,Neoplasia Maligna do Ovário,4123
C679,"Neoplasia Maligna da Bexiga, Sem Outra Especificações",4102
C329,"Neoplasia Maligna da Laringe, Não Especificada",4039
W189,Outras Quedas no Mesmo Nível,4032
A09,Diarréia e Gastroenterite de Origem Infecciosa Presumível,3856
C64,"Neoplasia Maligna do Rim, Exceto Pelve Renal",3720
E145,Diabetes Mellitus Não Especificado,3713
K922,"Hemorragia Gastrointestinal, Sem Outra Especificação",3711
J441,Doença Pulmonar Obstrutiva Crônica Com Exacerbação Aguda Não Especificada,3709
K566,"Outras Formas de Obstrução Intestinal, e as Não Especificadas",3646
C900,Mieloma Múltiplo,3505
C260,"Neoplasia Maligna do Trato Intestinal, Parte Não Especificada",3500
B572,Doença de Chagas (crônica) Com Comprometimento Cardíaco,3359
J988,Outros Transtornos Respiratórios Especificados,3307
B207,Doença Pelo HIV Resultando em Infecções Múltiplas,3292
X950,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,3277
F03,Demência Não Especificada,3269
K920,Hematêmese,3234
V892,Pessoa Traumatizada em um Acidente de Trânsito Com um Veículo a Motor Não Especificado,3232
I499,Arritmia Cardíaca Não Especificada,3168
C710,"Neoplasia Maligna do Cérebro, Exceto Lobos e Ventrículos",3158
E148,Diabetes Mellitus Não Especificado,3152
R54,Senilidade,3097
E46,Desnutrição Protéico-calórica Não Especificada,3040
I693,Seqüelas de Infarto Cerebral,3010
K550,Transtornos Vasculares Agudos do Intestino,2920
E147,Diabetes Mellitus Não Especificado,2875
C859,Linfoma Não-Hodgkin de Tipo Não Especificado,2865
J81,"Edema Pulmonar, Não Especificado de Outra Forma",2843
J841,Outras Doenças Pulmonares Intersticiais Com Fibrose,2808
J960,Insuficiência Respiratória Aguda,2776
N19,Insuficiência Renal Não Especificada,2771
I422,Outras Cardiomiopatias Hipertróficas,2763
X994,Agressão Por Meio de Objeto Cortante ou Penetrante,2696
I429,Cardiomiopatia Não Especificada,2673
V299,Motociclista (qualquer) Traumatizado em um Acidente de Trânsito Não Especificado,2658
P369,Septicemia Bacteriana Não Especificada do Recém-nascido,2580
C920,Leucemia Mielóide Aguda,2502
W199,Queda Sem Especificação,2417
W180,Outras Quedas no Mesmo Nível,2411
G409,"Epilepsia, Não Especificada",2379
I710,Aneurisma Dissecante da Aorta (qualquer Porção),2370
A162,"Tuberculose Pulmonar, Sem Menção de Confirmação Bacteriológica ou Histológica",2361
K859,"Pancreatite Aguda, Não Especificada",2331
I739,Doenças Vasculares Periféricas Não Especificada,2267
L089,"Infecção Localizada da Pele e do Tecido Subcutâneo, Não Especificada",2200
J459,Asma Não Especificada,2177
R960,Morte Instantânea,2170
L89,Úlcera de Decúbito,2158
J969,Insuficiência Respiratória Não Especificada,2140
D649,Anemia Não Especificada,2123
X958,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,2110
