causa_morte,descricao_morte,soma_morte
B342,Infecção Por Coronavírus de Localização Não Especificada,212706
I219,Infarto Agudo do Miocárdio Não Especificado,87961
R99,Outras Causas Mal Definidas e as Não Especificadas de Mortalidade,58899
I10,Hipertensão Essencial (primária),37600
J189,Pneumonia Não Especificada,36907
I64,"Acidente Vascular Cerebral, Não Especificado Como Hemorrágico ou Isquêmico",35182
E149,Diabetes Mellitus Não Especificado,32102
C349,"Neoplasia Maligna Dos Brônquios ou Pulmões, Não Especificado",26567
G309,Doença de Alzheimer Não Especificada,22351
N390,Infecção do Trato Urinário de Localização Não Especificada,20078
A419,Septicemia Não Especificada,18928
X954,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,16950
C509,"Neoplasia Maligna da Mama, Não Especificada",16654
J988,Outros Transtornos Respiratórios Especificados,16112
C61,Neoplasia Maligna da Próstata,15841
J159,Pneumonia Bacteriana Não Especificada,15599
J449,Doença Pulmonar Obstrutiva Crônica Não Especificada,15256
I110,Doença Cardíaca Hipertensiva Com Insuficiência Cardíaca (congestiva),14197
I509,Insuficiência Cardíaca Não Especificada,13965
I619,Hemorragia Intracerebral Não Especificada,13919
I694,Seqüelas de Acidente Vascular Cerebral Não Especificado Como Hemorrágico ou Isquêmico,13889
J440,Doença Pulmonar Obstrutiva Crônica Com Infecção Respiratória Aguda do Trato Respiratório Inferior,13039
C169,"Neoplasia Maligna do Estômago, Não Especificado",12609
I500,Insuficiência Cardíaca Congestiva,11927
I678,Outras Doenças Cerebrovasculares Especificadas,11432
R98,Morte Sem Assistência,10815
C189,"Neoplasia Maligna do Cólon, Não Especificado",9635
C259,"Neoplasia Maligna do Pâncreas, Não Especificado",9477
E142,Diabetes Mellitus Não Especificado,9232
K746,Outras Formas de Cirrose Hepática e as Não Especificadas,8558
I639,Infarto Cerebral Não Especificado,8415
C229,"Neoplasia Maligna do Fígado, Não Especificada",7644
J180,Broncopneumonia Não Especificada,7522
C159,"Neoplasia Maligna do Esôfago, Não Especificado",7480
X700,"Lesão Autoprovocada Intencionalmente Por Enforcamento, Estrangulamento e Sufocação",7365
K703,Cirrose Hepática Alcoólica,7220
F102,Transtornos Mentais e Comportamentais Devidos ao Uso de Álcool,7201
E119,Diabetes Mellitus Não-insulino-dependente,7088
N189,Insuficiência Renal Crônica Não Especificada,6782
X959,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,6514
C539,"Neoplasia Maligna do Colo do Útero, Não Especificado",6001
Y349,Fatos ou Eventos Não Especificados e Intenção Não Determinada,5997
R092,Parada Respiratória,5800
I119,Doença Cardíaca Hipertensiva Sem Insuficiência Cardíaca (congestiva),5748
I251,Doença Aterosclerótica do Coração,5669
J690,Pneumonite Devida a Alimento ou Vômito,5598
C80,"Neoplasia Maligna, Sem Especificação de Localização",5348
C20,Neoplasia Maligna do Reto,5239
I269,Embolia Pulmonar Sem Menção de Cor Pulmonale Agudo,5038
N179,Insuficiência Renal Aguda Não Especificada,5020
I120,Doença Renal Hipertensiva Com Insuficiência Renal,4737
G20,Doença de Parkinson,4690
R960,Morte Instantânea,4598
I48,Flutter e Fibrilação Atrial,4526
C719,"Neoplasia Maligna do Encéfalo, Não Especificado",4502
I609,Hemorragia Subaracnóide Não Especificada,4425
I259,Doença Isquêmica Crônica do Coração Não Especificada,4308
I255,Miocardiopatia Isquêmica,4275
C679,"Neoplasia Maligna da Bexiga, Sem Outra Especificações",4202
I420,Cardiomiopatia Dilatada,4063
K922,"Hemorragia Gastrointestinal, Sem Outra Especificação",4060
C329,"Neoplasia Maligna da Laringe, Não Especificada",3931
C56,Neoplasia Maligna do Ovário,3921
X950,Agressão Por Meio de Disparo de Outra Arma de Fogo ou de Arma Não Especificada,3900
W189,Outras Quedas no Mesmo Nível,3787
R54,Senilidade,3754
J960,Insuficiência Respiratória Aguda,3732
K920,Hematêmese,3667
C64,"Neoplasia Maligna do Rim, Exceto Pelve Renal",3630
K566,"Outras Formas de Obstrução Intestinal, e as Não Especificadas",3566
C260,"Neoplasia Maligna do Trato Intestinal, Parte Não Especificada",3563
I499,Arritmia Cardíaca Não Especificada,3532
V892,Pessoa Traumatizada em um Acidente de Trânsito Com um Veículo a Motor Não Especificado,3514
E145,Diabetes Mellitus Não Especificado,3502
J129,Pneumonia Viral Não Especificada,3390
E148,Diabetes Mellitus Não Especificado,3384
C900,Mieloma Múltiplo,3278
B572,Doença de Chagas (crônica) Com Comprometimento Cardíaco,3265
